id,src,dst,bw,srlg,distance
1,1,2,409600,1,2622
2,1,18,409600,2,459
3,2,3,409600,3,105
4,2,19,409600,4,1129
5,3,4,409600,5,1006
6,3,20,409600,6,917
7,4,5,409600,7,574
8,4,21,409600,8,422
9,5,6,409600,9,2774
10,5,22,409600,10,2236
11,6,7,409600,11,359
12,6,23,409600,12,2421
13,7,8,409600,13,1731
14,7,24,409600,14,133
15,8,9,409600,15,125
16,8,25,409600,16,386
17,9,10,409600,17,898
18,9,26,409600,18,955
19,10,11,409600,19,2072
20,10,27,409600,20,2468
21,11,12,409600,21,111
22,11,28,409600,22,2301
23,12,13,409600,23,817
24,12,29,409600,24,2935
25,13,14,409600,25,2664
26,13,30,409600,26,2875
27,14,15,409600,27,2235
28,14,31,409600,28,1721
29,15,16,409600,29,905
30,15,32,409600,30,1842
31,16,17,409600,31,2416
32,16,33,409600,32,1142
33,17,34,409600,33,29
34,18,19,409600,34,656
35,18,35,409600,35,2862
36,19,20,409600,36,1734
37,19,36,409600,37,1396
38,20,21,409600,38,1141
39,20,37,409600,39,639
40,21,22,409600,40,884
41,21,38,409600,41,1381
42,22,23,409600,42,421
43,22,39,409600,43,382
44,23,24,409600,44,1559
45,23,40,409600,45,399
46,24,25,409600,46,1473
47,24,41,409600,47,1411
48,25,26,409600,48,2475
49,25,42,409600,49,1086
50,26,27,409600,50,180
51,26,43,409600,51,2991
52,27,28,409600,52,1884
53,27,44,409600,53,2199
54,28,29,409600,54,514
55,28,45,409600,55,1553
56,29,30,409600,56,325
57,29,46,409600,57,2264
58,30,31,409600,58,1203
59,30,47,409600,59,2577
60,31,32,409600,60,2536
61,31,48,409600,61,1484
62,32,33,409600,62,2367
63,32,49,409600,63,790
64,33,34,409600,64,2888
65,33,50,409600,65,287
66,34,51,409600,66,190
67,35,36,409600,67,2711
68,35,52,409600,68,936
69,36,37,409600,69,1188
70,36,53,409600,70,329
71,37,38,409600,71,956
72,37,54,409600,72,416
73,38,39,409600,73,1559
74,38,55,409600,74,1141
75,39,40,409600,75,1860
76,39,56,409600,76,2606
77,40,41,409600,77,1497
78,40,57,409600,78,669
79,41,42,409600,79,1519
80,41,58,409600,80,1458
81,42,43,409600,81,861
82,42,59,409600,82,2748
83,43,44,409600,83,1096
84,43,60,409600,84,2877
85,44,45,409600,85,2802
86,44,61,409600,86,2657
87,45,46,409600,87,295
88,45,62,409600,88,2498
89,46,47,409600,89,2603
90,46,63,409600,90,703
91,47,48,409600,91,2190
92,47,64,409600,92,2989
93,48,49,409600,93,1005
94,48,65,409600,94,672
95,49,50,409600,95,1896
96,49,66,409600,96,1557
97,50,51,409600,97,1108
98,50,67,409600,98,2624
99,51,68,409600,99,2821
100,52,53,409600,100,2284
101,52,69,409600,101,902
102,53,54,409600,102,2807
103,53,70,409600,103,1331
104,54,55,409600,104,232
105,54,71,409600,105,941
106,55,56,409600,106,134
107,55,72,409600,107,1295
108,56,57,409600,108,1646
109,56,73,409600,109,1099
110,57,58,409600,110,274
111,57,74,409600,111,867
112,58,59,409600,112,2326
113,58,75,409600,113,2943
