srlg_id,path_calc_time,res_assign_time,total_consume
1,3,430,0.1375
2,2,290,0.0925
3,120,26657,7.86425
4,119,26576,7.834
5,120,26657,7.86425
7,119,26560,7.83
8,1,80,0.03
9,121,26850,7.9225
10,1,90,0.0325
11,215,42469,12.7673
12,72,13087,3.99175
13,305,54519,16.6797
15,7,1110,0.3475
16,115,23085,6.92125
17,4,700,0.215
18,2,260,0.085
19,3,480,0.15
21,2,280,0.09
23,4,680,0.21
25,3,590,0.1775
26,2,280,0.09
27,6,910,0.2875
28,6,870,0.2775
29,7,1120,0.35
31,2,390,0.1175
32,5,920,0.28
33,1,250,0.0725
35,1,170,0.0525
36,1,150,0.0475
37,122,26852,7.933
38,1,150,0.0475
40,1,190,0.0575
42,1,170,0.0525
44,1,170,0.0525
45,72,13087,3.99175
46,1,190,0.0575
48,1,130,0.0425
49,113,21745,6.56625
50,1,130,0.0425
51,1,200,0.06
54,1,140,0.045
56,1,120,0.04
58,1,120,0.04
60,1,120,0.04
61,8,1130,0.3625
62,1,120,0.04
64,2,380,0.115
65,9,1640,0.5
66,1,250,0.0725
68,1,190,0.0575
69,2,260,0.085
70,123,27008,7.982
71,1,130,0.0425
73,1,130,0.0425
75,2,280,0.09
77,1,150,0.0475
78,74,13230,4.0475
80,1,150,0.0475
82,115,22431,6.75775
85,1,160,0.05
87,2,350,0.1075
89,3,560,0.17
91,3,560,0.17
93,3,500,0.155
94,10,1390,0.4475
95,1,210,0.0625
96,1,190,0.0575
98,11,2070,0.6275
99,2,390,0.1175
100,2,480,0.14
101,2,480,0.14
102,155,29885,9.02125
103,159,35014,10.3435
104,152,29693,8.94325
105,1,100,0.035
106,152,29693,8.94325
108,152,29770,8.9625
109,2,430,0.1275
110,85,17841,5.31025
111,128,23630,7.1875
112,83,17521,5.21025
113,2,290,0.0925
114,2,380,0.115
115,210,39954,12.0885
116,2,380,0.115
118,2,380,0.115
120,1,200,0.06
121,1,200,0.06
122,1,200,0.06
124,1,200,0.06
126,1,200,0.06
127,10,1390,0.4475
129,1,190,0.0575
131,11,2070,0.6275
132,2,370,0.1125
134,2,480,0.14
136,159,35014,10.3435
138,1,100,0.035
139,1,220,0.065
141,1,140,0.045
142,4,790,0.2375
143,67,11164,3.461
144,196,34611,10.6128
145,69,11373,3.53325
146,3,420,0.135
147,115,22960,6.89
148,179,33498,10.1645
149,116,21000,6.41
151,118,21246,6.4915
152,1,130,0.0425
153,118,21246,6.4915
155,119,21324,6.521
157,114,20577,6.28425
158,2,260,0.085
159,409,67626,20.9965
160,31,8000,2.31
161,352,58194,18.0685
162,53,9999,3.02975
163,396,69074,21.2285
164,3,460,0.145
165,394,69416,21.294
167,2,480,0.14
169,138,33581,9.77525
170,1,210,0.0625
172,2,370,0.1125
174,16,3180,0.955
175,18,3590,1.0775
176,224,36213,11.2933
177,3,500,0.155
178,227,35170,11.0625
179,154,27561,8.43025
180,163,27798,8.5795
181,1,150,0.0475
182,8,1580,0.475
183,152,26027,8.02675
184,7,1450,0.4325
185,1,130,0.0425
186,8,1560,0.47
188,8,1560,0.47
190,5,1060,0.315
191,5,760,0.24
192,5,1060,0.315
193,31,8000,2.31
194,3,670,0.1975
195,51,9930,2.9925
196,2,450,0.1325
197,4,720,0.22
198,384,69527,21.2218
199,2,350,0.1075
200,4,830,0.2475
201,51,9553,2.89825
202,2,270,0.0875
203,50,9423,2.85575
204,1,130,0.0425
205,49,9293,2.81325
206,1,130,0.0425
207,80,15158,4.5895
208,144,29874,8.9085
209,80,15158,4.5895
210,2,350,0.1075
211,159,27564,8.481
212,219,40326,12.2715
213,144,29704,8.866
214,1,150,0.0475
215,140,29911,8.87775
216,139,25239,7.69975
217,140,29911,8.87775
218,1,130,0.0425
219,138,29466,8.7465
220,4,750,0.2275
221,139,29646,8.8015
223,141,29966,8.9015
224,4,610,0.1925
225,137,29289,8.69225
226,35,8830,2.5575
227,216,41895,12.6338
228,138,23266,7.1965
229,218,42591,12.8277
230,6,1170,0.3525
231,5,1090,0.3225
233,3,660,0.195
235,1,140,0.045
239,1,130,0.0425
240,54,9961,3.03025
241,207,39923,12.0508
242,53,10703,3.20575
243,2,350,0.1075
244,131,23708,7.237
245,310,53784,16.546
246,125,24268,7.317
248,3,530,0.1625
249,1,140,0.045
250,2,360,0.11
251,1,130,0.0425
252,2,360,0.11
253,3,600,0.18
254,2,360,0.11
256,2,360,0.11
257,3,500,0.155
258,1,180,0.055
259,36,9010,2.6125
260,1,180,0.055
261,137,23026,7.1265
263,4,720,0.22
264,4,880,0.26
265,2,350,0.1075
266,3,660,0.195
267,2,330,0.1025
268,1,140,0.045
269,2,330,0.1025
271,2,330,0.1025
272,1,130,0.0425
273,4,590,0.1875
274,209,40069,12.1073
275,4,570,0.1825
276,2,390,0.1175
277,1,160,0.05
278,319,54737,16.8742
279,1,160,0.05
282,1,180,0.055
286,2,450,0.1325
292,36,9010,2.6125
294,132,24379,7.41475
296,3,500,0.155
297,4,880,0.26
298,1,170,0.0525
299,4,830,0.2475
300,1,170,0.0525
301,1,140,0.045
302,2,330,0.1025
303,1,120,0.04
304,2,330,0.1025
305,1,130,0.0425
306,75,12157,3.78925
307,315,54255,16.7138
308,81,12583,3.95575
309,2,320,0.1
310,1,110,0.0375
311,68,12121,3.71025
313,1,110,0.0375
319,2,450,0.1325
320,2,240,0.08
321,1,120,0.04
322,4,620,0.195
323,2,380,0.115
324,69,12109,3.71725
325,123,20879,6.44975
326,1,210,0.0625
327,1,170,0.0525
328,1,210,0.0625
329,2,360,0.11
330,5,1090,0.3225
332,3,660,0.195
334,1,140,0.045
335,2,310,0.0975
336,2,310,0.0975
337,2,310,0.0975
338,1,150,0.0475
339,89,12981,4.13525
340,60,10438,3.2095
341,89,12981,4.13525
342,2,320,0.1
344,159,24548,7.727
346,1,110,0.0375
352,2,450,0.1325
353,1,120,0.04
354,1,120,0.04
355,1,120,0.04
356,1,160,0.05
358,120,20817,6.40425
360,1,170,0.0525
362,2,360,0.11
363,5,1090,0.3225
365,2,420,0.125
366,1,140,0.045
367,1,140,0.045
368,1,140,0.045
369,1,150,0.0475
370,2,330,0.1025
371,1,190,0.0575
372,63,12332,3.713
373,124,22091,6.76275
374,66,12637,3.81925
375,1,140,0.045
376,11,2930,0.8425
377,3,510,0.1575
378,11,2930,0.8425
379,1,110,0.0375
380,10,2690,0.7725
381,1,240,0.07
382,10,2690,0.7725
384,10,2690,0.7725
385,2,450,0.1325
386,10,2690,0.7725
387,1,120,0.04
388,11,2750,0.7975
390,2,160,0.06
391,130,24245,7.36125
392,2,160,0.06
393,1,170,0.0525
394,2,180,0.065
395,1,170,0.0525
396,5,930,0.2825
398,1,180,0.055
400,1,120,0.04
402,1,150,0.0475
406,119,22407,6.79175
408,1,140,0.045
410,3,510,0.1575
414,1,240,0.07
418,1,220,0.065
420,2,230,0.0775
424,137,23259,7.18475
426,1,170,0.0525
428,1,170,0.0525
429,4,740,0.225
431,1,200,0.06
432,1,270,0.0775
434,1,250,0.0725
435,1,150,0.0475
436,1,270,0.0775
438,2,440,0.13
439,120,22577,6.84425
440,1,270,0.0775
441,1,140,0.045
442,1,270,0.0775
443,3,510,0.1575
444,1,270,0.0775
446,1,270,0.0775
447,1,240,0.07
448,1,280,0.08
450,1,280,0.08
451,1,220,0.065
453,3,500,0.155
456,2,480,0.14
457,147,23452,7.333
458,2,480,0.14
459,1,170,0.0525
460,1,240,0.07
462,2,470,0.1375
463,1,200,0.06
465,2,430,0.1275
466,1,230,0.0675
467,4,760,0.23
468,1,150,0.0475
469,4,780,0.235
471,79,20401,5.89025
472,200,40681,12.1702
473,79,20401,5.89025
474,1,140,0.045
475,78,20191,5.82775
476,1,160,0.05
477,78,20191,5.82775
479,79,20321,5.87025
480,1,240,0.07
481,79,20321,5.87025
483,79,20321,5.87025
484,1,220,0.065
485,288,52582,16.0255
487,296,56284,17.031
488,1,210,0.0625
489,6,1310,0.3875
491,4,990,0.2875
492,2,390,0.1175
493,1,200,0.06
494,1,240,0.07
495,1,260,0.075
498,1,180,0.055
499,1,200,0.06
500,1,180,0.055
501,1,170,0.0525
502,2,370,0.1125
503,1,190,0.0575
504,1,320,0.09
505,1,230,0.0675
506,1,320,0.09
507,1,140,0.045
508,1,320,0.09
509,1,160,0.05
510,1,320,0.09
512,1,320,0.09
514,1,320,0.09
516,1,320,0.09
518,1,320,0.09
520,1,320,0.09
522,1,320,0.09
524,1,320,0.09
525,1,170,0.0525
527,1,320,0.09
528,1,260,0.075
546,222,41398,12.5695
547,55,5060,1.815
548,28,5240,1.59
549,80,11950,3.7875
550,18,670,0.3475
551,37,1400,0.72
552,20,1010,0.4525
553,25,1280,0.57
554,31,1970,0.8025
555,27,1060,0.535
556,13,720,0.31
557,29,1460,0.655
558,11,800,0.31
559,36,4090,1.3825
560,47,6440,2.08
561,61,12100,3.635
562,395,75461,22.8152
563,671,116513,35.8383
564,17,3140,0.955
565,9,1370,0.4325
566,1,170,0.0525
567,6,1300,0.385
