id,src,dst,bw,srlg,distance
1,14,1,409600,1,5
2,14,13,409600,2,11
3,14,3,409600,3,15
4,14,5,409600,4,18
5,14,10,409600,5,19
6,14,15,409600,6,21
7,14,6,409600,7,17
8,14,4,409600,8,19
9,14,12,409600,9,26
10,14,9,409600,10,27
11,1,13,409600,11,8
12,1,3,409600,12,13
13,1,5,409600,13,16
14,1,4,409600,14,19
15,1,2,409600,15,31
16,1,6,409600,16,19
17,1,10,409600,17,22
18,1,12,409600,18,27
19,1,8,409600,19,44
20,1,15,409600,20,22
21,1,11,409600,21,24
22,1,9,409600,22,25
23,1,7,409600,23,26
24,1,16,409600,24,27
25,1,18,409600,25,8
26,1,27,409600,26,8
27,1,30,409600,27,9
28,13,3,409600,28,7
29,13,5,409600,29,10
30,13,4,409600,30,14
31,13,9,409600,31,19
32,13,11,409600,32,19
33,13,7,409600,33,20
34,13,6,409600,34,22
35,13,16,409600,35,23
36,13,2,409600,36,25
37,13,10,409600,37,27
38,3,5,409600,38,4
39,3,4,409600,39,7
40,3,9,409600,40,19
41,3,11,409600,41,19
42,3,7,409600,42,19
43,3,16,409600,43,19
44,3,6,409600,44,26
45,3,10,409600,45,31
46,3,2,409600,46,21
47,5,4,409600,47,5
48,5,9,409600,48,16
49,5,11,409600,49,17
50,5,7,409600,50,16
51,5,16,409600,51,19
52,5,6,409600,52,29
53,5,15,409600,53,35
54,5,2,409600,54,19
55,4,9,409600,55,15
56,4,11,409600,56,18
57,4,16,409600,57,14
58,4,6,409600,58,32
59,4,7,409600,59,13
60,4,2,409600,60,19
61,9,11,409600,61,6
62,9,7,409600,62,8
63,9,2,409600,63,10
64,9,16,409600,64,19
65,9,18,409600,65,8
66,9,27,409600,66,8
67,9,30,409600,67,9
68,11,7,409600,68,13
69,11,2,409600,69,15
70,11,16,409600,70,23
71,7,2,409600,71,7
72,7,16,409600,72,16
73,2,16,409600,73,19
74,2,18,409600,74,8
75,2,27,409600,75,8
76,2,30,409600,76,9
77,16,18,409600,77,8
78,16,27,409600,78,8
79,16,30,409600,79,9
80,6,10,409600,80,10
81,6,15,409600,81,8
82,6,12,409600,82,15
83,6,18,409600,83,8
84,6,27,409600,84,8
85,6,30,409600,85,9
86,10,15,409600,86,12
87,10,12,409600,87,19
88,10,8,409600,88,24
89,10,18,409600,89,8
90,10,27,409600,90,8
91,10,30,409600,91,9
92,15,12,409600,92,8
93,15,8,409600,93,24
94,15,18,409600,94,8
95,15,27,409600,95,8
96,15,30,409600,96,9
97,12,8,409600,97,23
98,8,18,409600,98,8
99,8,27,409600,99,8
100,8,30,409600,100,9
101,19,32,409600,101,8
102,19,33,409600,102,9
103,19,24,409600,103,12
104,19,22,409600,104,17
105,19,34,409600,105,17
106,19,21,409600,106,17
107,19,27,409600,107,17
108,32,33,409600,108,15
109,32,21,409600,109,13
110,32,34,409600,110,10
111,32,23,409600,111,14
112,32,28,409600,112,17
113,33,24,409600,113,12
114,33,20,409600,114,16
115,24,22,409600,115,6
116,24,27,409600,116,12
117,24,21,409600,117,20
118,24,20,409600,118,17
119,24,25,409600,119,25
120,24,26,409600,120,25
121,24,31,409600,121,36
122,22,27,409600,122,9
123,22,20,409600,123,19
124,22,18,409600,124,18
125,27,41,409600,125,9
126,27,48,409600,126,9
127,27,51,409600,127,9
128,21,23,409600,128,10
129,21,34,409600,129,14
130,21,28,409600,130,18
131,34,23,409600,131,7
132,34,28,409600,132,7
133,34,30,409600,133,16
134,34,29,409600,134,17
135,23,28,409600,135,8
136,28,30,409600,136,10
137,28,29,409600,137,13
138,30,29,409600,138,6
139,30,41,409600,139,9
140,30,48,409600,140,9
141,30,51,409600,141,9
142,29,41,409600,142,9
143,29,48,409600,143,9
144,29,51,409600,144,9
145,20,18,409600,145,19
146,20,25,409600,146,15
147,20,31,409600,147,26
148,18,26,409600,148,10
149,18,41,409600,149,8
150,18,48,409600,150,8
151,18,51,409600,151,8
152,25,31,409600,152,17
153,37,50,409600,153,8
154,37,51,409600,154,9
155,37,42,409600,155,12
156,37,40,409600,156,17
157,37,45,409600,157,17
158,37,39,409600,158,17
159,37,52,409600,159,17
160,37,41,409600,160,19
161,37,38,409600,161,19
162,37,44,409600,162,34
163,50,51,409600,163,15
164,50,42,409600,164,19
165,50,39,409600,165,13
166,50,52,409600,166,10
167,50,46,409600,167,17
168,50,48,409600,168,21
169,50,41,409600,169,14
170,50,40,409600,170,19
171,51,42,409600,171,12
172,51,40,409600,172,18
173,51,52,409600,173,20
174,51,47,409600,174,29
175,51,38,409600,175,16
176,51,63,409600,176,4
177,51,86,409600,177,4
178,51,90,409600,178,4
179,42,40,409600,179,6
180,42,45,409600,180,12
181,42,36,409600,181,19
182,42,38,409600,182,17
183,40,45,409600,183,9
184,40,36,409600,184,18
185,40,38,409600,185,19
186,40,63,409600,186,4
187,40,86,409600,187,4
188,40,90,409600,188,4
189,45,39,409600,189,19
190,45,36,409600,190,21
191,39,41,409600,191,10
192,39,38,409600,192,32
193,39,52,409600,193,14
194,39,46,409600,194,18
195,52,41,409600,195,7
196,52,46,409600,196,7
197,52,48,409600,197,16
198,52,47,409600,198,17
199,41,46,409600,199,8
200,41,48,409600,200,18
201,41,63,409600,201,4
202,41,86,409600,202,4
203,41,90,409600,203,4
204,46,48,409600,204,10
205,46,47,409600,205,13
206,48,47,409600,206,6
207,48,63,409600,207,4
208,48,86,409600,208,5
209,48,90,409600,209,5
210,47,43,409600,210,52
211,38,43,409600,211,15
212,38,36,409600,212,19
213,36,43,409600,213,19
214,36,44,409600,214,10
215,36,49,409600,215,23
216,43,44,409600,216,19
217,43,49,409600,217,17
218,44,49,409600,218,19
219,44,63,409600,219,4
220,44,86,409600,220,4
221,44,90,409600,221,4
222,49,63,409600,222,4
223,49,86,409600,223,5
224,49,90,409600,224,5
225,76,71,409600,225,5
226,76,70,409600,226,6
227,76,88,409600,227,6
228,76,75,409600,228,9
229,76,85,409600,229,11
230,76,74,409600,230,13
231,76,59,409600,231,35
232,76,83,409600,232,12
233,71,70,409600,233,8
234,71,88,409600,234,8
235,71,75,409600,235,7
236,71,83,409600,236,9
237,71,85,409600,237,14
238,71,74,409600,238,17
239,71,102,409600,239,13
240,71,99,409600,240,15
241,71,95,409600,241,16
242,71,87,409600,242,15
243,71,54,409600,243,20
244,71,68,409600,244,19
245,71,89,409600,245,36
246,70,88,409600,246,11
247,70,75,409600,247,14
248,70,83,409600,248,13
249,70,85,409600,249,6
250,70,74,409600,250,10
251,70,92,409600,251,23
252,70,84,409600,252,16
253,88,75,409600,253,8
254,88,83,409600,254,16
255,88,85,409600,255,16
256,88,102,409600,256,18
257,88,87,409600,257,19
258,88,84,409600,258,17
259,75,83,409600,259,11
260,75,102,409600,260,11
261,75,99,409600,261,11
262,75,100,409600,262,19
263,83,102,409600,263,8
264,83,99,409600,264,12
265,83,95,409600,265,8
266,83,87,409600,266,8
267,83,57,409600,267,9
268,83,63,409600,268,9
269,83,93,409600,269,14
270,83,68,409600,270,20
271,83,97,409600,271,26
272,85,74,409600,272,6
273,85,92,409600,273,27
274,85,68,409600,274,9
275,85,84,409600,275,14
276,85,65,409600,276,10
277,85,96,409600,277,24
278,74,68,409600,278,11
279,74,84,409600,279,9
280,74,65,409600,280,8
281,74,97,409600,281,9
282,74,67,409600,282,11
283,74,79,409600,283,12
284,74,101,409600,284,14
285,74,96,409600,285,19
286,74,64,409600,286,26
287,74,78,409600,287,29
288,74,58,409600,288,13
289,102,99,409600,289,5
290,102,95,409600,290,7
291,102,57,409600,291,10
292,102,93,409600,292,11
293,102,94,409600,293,10
294,102,92,409600,294,13
295,102,100,409600,295,13
296,102,54,409600,296,15
297,102,87,409600,297,12
298,102,55,409600,298,13
299,99,95,409600,299,11
300,99,92,409600,300,8
301,99,100,409600,301,10
302,99,54,409600,302,11
303,99,94,409600,303,12
304,95,87,409600,304,7
305,95,57,409600,305,3
306,95,63,409600,306,11
307,95,93,409600,307,7
308,95,94,409600,308,7
309,95,55,409600,309,7
310,95,81,409600,310,19
311,95,73,409600,311,10
312,95,82,409600,312,11
313,95,90,409600,313,11
314,87,57,409600,314,6
315,87,63,409600,315,4
316,87,73,409600,316,12
317,87,55,409600,317,11
318,87,93,409600,318,12
319,57,63,409600,319,9
320,57,93,409600,320,7
321,57,94,409600,321,9
322,57,55,409600,322,7
323,57,73,409600,323,8
324,57,82,409600,324,10
325,57,90,409600,325,10
326,63,135,409600,326,8
327,63,122,409600,327,8
328,63,133,409600,328,8
329,93,94,409600,329,4
330,93,55,409600,330,3
331,93,73,409600,331,5
332,93,90,409600,332,4
333,93,82,409600,333,6
334,93,72,409600,334,17
335,94,55,409600,335,6
336,94,90,409600,336,7
337,94,80,409600,337,19
338,94,73,409600,338,9
339,94,82,409600,339,9
340,55,73,409600,340,3
341,55,90,409600,341,4
342,55,82,409600,342,4
343,55,100,409600,343,19
344,55,72,409600,344,19
345,73,90,409600,345,5
346,73,82,409600,346,3
347,73,77,409600,347,20
348,73,81,409600,348,13
349,73,135,409600,349,8
350,73,122,409600,350,8
351,73,133,409600,351,8
352,90,82,409600,352,3
353,90,81,409600,353,11
354,90,135,409600,354,8
355,90,122,409600,355,8
356,90,133,409600,356,8
357,82,81,409600,357,11
358,92,100,409600,358,8
359,92,54,409600,359,7
360,92,60,409600,360,14
361,92,135,409600,361,8
362,92,122,409600,362,8
363,92,108,409600,363,8
364,100,54,409600,364,3
365,100,72,409600,365,6
366,100,77,409600,366,11
367,100,62,409600,367,10
368,100,80,409600,368,14
369,100,60,409600,369,11
370,54,72,409600,370,8
371,54,77,409600,371,12
372,54,62,409600,372,9
373,54,60,409600,373,10
374,54,56,409600,374,13
375,72,77,409600,375,6
376,72,62,409600,376,9
377,72,60,409600,377,11
378,72,80,409600,378,9
379,72,56,409600,379,10
380,77,62,409600,380,10
381,77,80,409600,381,5
382,77,56,409600,382,9
383,77,60,409600,383,13
384,62,60,409600,384,3
385,62,80,409600,385,9
386,62,56,409600,386,6
387,60,56,409600,387,8
388,60,80,409600,388,11
389,80,56,409600,389,5
390,56,135,409600,390,8
391,56,122,409600,391,9
392,56,108,409600,392,9
393,81,135,409600,393,8
394,81,122,409600,394,8
395,81,133,409600,395,8
396,68,65,409600,396,7
397,68,79,409600,397,10
398,84,65,409600,398,14
399,84,97,409600,399,6
400,84,67,409600,400,4
401,84,58,409600,401,10
402,84,98,409600,402,8
403,84,96,409600,403,18
404,84,69,409600,404,19
405,65,97,409600,405,11
406,65,67,409600,406,15
407,65,79,409600,407,5
408,65,58,409600,408,12
409,65,101,409600,409,8
410,65,66,409600,410,13
411,97,67,409600,411,5
412,97,79,409600,412,12
413,97,58,409600,413,5
414,97,98,409600,414,7
415,97,61,409600,415,14
416,97,89,409600,416,22
417,97,101,409600,417,11
418,67,58,409600,418,8
419,67,98,409600,419,5
420,67,78,409600,420,21
421,79,101,409600,421,4
422,79,66,409600,422,8
423,79,61,409600,423,18
424,79,58,409600,424,11
425,58,101,409600,425,8
426,58,98,409600,426,8
427,58,66,409600,427,15
428,58,61,409600,428,10
429,58,96,409600,429,11
430,101,66,409600,430,8
431,101,69,409600,431,19
432,101,89,409600,432,16
433,98,61,409600,433,12
434,98,59,409600,434,25
435,98,91,409600,435,19
436,98,96,409600,436,11
437,98,69,409600,437,13
438,66,89,409600,438,9
439,66,59,409600,439,10
440,66,64,409600,440,14
441,66,91,409600,441,17
442,66,86,409600,442,21
443,61,96,409600,443,2
444,61,69,409600,444,9
445,61,91,409600,445,12
446,61,78,409600,446,13
447,96,69,409600,447,7
448,96,91,409600,448,14
449,96,78,409600,449,12
450,69,78,409600,450,11
451,89,59,409600,451,3
452,89,64,409600,452,11
453,59,64,409600,453,9
454,64,91,409600,454,6
455,64,86,409600,455,13
456,91,86,409600,456,9
457,91,135,409600,457,9
458,91,122,409600,458,9
459,91,108,409600,459,9
460,78,86,409600,460,10
461,86,135,409600,461,9
462,86,122,409600,462,9
463,86,108,409600,463,9
464,139,137,409600,464,6
465,139,130,409600,465,12
466,139,114,409600,466,13
467,139,120,409600,467,10
468,139,132,409600,468,8
469,139,116,409600,469,10
470,139,112,409600,470,10
471,139,121,409600,471,11
472,139,118,409600,472,16
473,139,104,409600,473,25
474,139,109,409600,474,25
475,139,124,409600,475,13
476,137,130,409600,476,8
477,137,114,409600,477,8
478,137,135,409600,478,12
479,137,120,409600,479,11
480,137,132,409600,480,13
481,137,121,409600,481,14
482,137,112,409600,482,15
483,130,114,409600,483,8
484,130,135,409600,484,7
485,130,120,409600,485,13
486,130,104,409600,486,27
487,114,135,409600,487,8
488,114,132,409600,488,19
489,114,113,409600,489,19
490,114,134,409600,490,16
491,135,116,409600,491,22
492,135,153,409600,492,8
493,135,156,409600,493,8
494,135,144,409600,494,8
495,120,118,409600,495,12
496,120,109,409600,496,19
497,120,112,409600,497,15
498,120,116,409600,498,15
499,132,116,409600,499,3
500,132,112,409600,500,4
501,132,121,409600,501,5
502,132,124,409600,502,6
503,132,108,409600,503,19
504,132,113,409600,504,15
505,116,112,409600,505,2
506,116,121,409600,506,7
507,116,124,409600,507,7
508,116,138,409600,508,19
509,116,119,409600,509,29
510,116,118,409600,510,14
511,112,118,409600,511,13
512,112,121,409600,512,8
513,112,124,409600,513,8
514,121,124,409600,514,3
515,121,113,409600,515,10
516,121,127,409600,516,22
517,121,104,409600,517,31
518,121,134,409600,518,14
519,124,113,409600,519,10
520,124,134,409600,520,15
521,124,117,409600,521,14
522,124,108,409600,522,14
523,124,107,409600,523,28
524,124,138,409600,524,14
525,113,134,409600,525,8
526,113,138,409600,526,5
527,113,117,409600,527,9
528,134,138,409600,528,10
529,138,117,409600,529,7
530,138,128,409600,530,13
531,138,111,409600,531,15
532,138,126,409600,532,14
533,117,108,409600,533,10
534,117,128,409600,534,8
535,117,127,409600,535,11
536,117,126,409600,536,13
537,118,122,409600,537,19
538,108,128,409600,538,13
539,108,127,409600,539,15
540,108,153,409600,540,8
541,108,156,409600,541,9
542,108,144,409600,542,9
543,128,127,409600,543,3
544,128,126,409600,544,9
545,128,136,409600,545,10
546,128,107,409600,546,16
547,128,129,409600,547,21
548,127,126,409600,548,8
549,127,111,409600,549,16
550,127,136,409600,550,8
551,127,107,409600,551,14
552,126,111,409600,552,8
553,126,136,409600,553,3
554,126,125,409600,554,11
555,111,125,409600,555,5
556,111,129,409600,556,13
557,111,136,409600,557,10
558,136,125,409600,558,12
559,125,129,409600,559,8
560,104,109,409600,560,6
561,104,122,409600,561,4
562,104,119,409600,562,15
563,104,133,409600,563,19
564,104,106,409600,564,19
565,109,122,409600,565,3
566,109,119,409600,566,9
567,109,115,409600,567,12
568,109,133,409600,568,14
569,109,106,409600,569,15
570,109,131,409600,570,15
571,122,115,409600,571,12
572,122,131,409600,572,15
573,122,119,409600,573,11
574,122,106,409600,574,15
575,122,153,409600,575,9
576,122,156,409600,576,9
577,122,144,409600,577,9
578,119,115,409600,578,8
579,119,133,409600,579,9
580,119,106,409600,580,12
581,119,105,409600,581,13
582,115,133,409600,582,4
583,115,106,409600,583,4
584,115,105,409600,584,7
585,115,131,409600,585,7
586,115,123,409600,586,13
587,115,110,409600,587,12
588,115,153,409600,588,9
589,115,156,409600,589,9
590,115,144,409600,590,9
591,133,106,409600,591,5
592,133,105,409600,592,5
593,133,123,409600,593,9
594,133,110,409600,594,10
595,133,131,409600,595,10
596,133,153,409600,596,9
597,133,156,409600,597,9
598,133,144,409600,598,9
599,106,105,409600,599,4
600,106,131,409600,600,5
601,106,110,409600,601,10
602,106,123,409600,602,13
603,105,123,409600,603,9
604,105,110,409600,604,6
605,105,131,409600,605,8
606,131,110,409600,606,14
607,123,110,409600,607,7
608,123,153,409600,608,9
609,123,156,409600,609,9
610,123,144,409600,610,9
611,142,155,409600,611,8
612,142,156,409600,612,9
613,142,147,409600,613,12
614,142,145,409600,614,17
615,142,150,409600,615,17
616,142,144,409600,616,17
617,142,146,409600,617,19
618,142,151,409600,618,20
619,142,143,409600,619,19
620,142,148,409600,620,31
621,142,157,409600,621,17
622,155,156,409600,622,15
623,155,147,409600,623,19
624,155,145,409600,624,19
625,155,150,409600,625,19
626,155,144,409600,626,13
627,155,157,409600,627,10
628,155,146,409600,628,14
629,155,141,409600,629,33
630,155,154,409600,630,50
631,155,151,409600,631,17
632,155,152,409600,632,20
633,156,147,409600,633,12
634,156,145,409600,634,18
635,156,144,409600,635,21
636,156,143,409600,636,16
637,156,141,409600,637,25
638,156,149,409600,638,31
639,156,150,409600,639,19
640,156,190,409600,640,12
641,156,178,409600,641,12
642,156,177,409600,642,12
643,147,145,409600,643,6
644,147,150,409600,644,12
645,147,157,409600,645,24
646,147,143,409600,646,17
647,147,141,409600,647,19
648,147,144,409600,648,20
649,145,150,409600,649,9
650,145,144,409600,650,22
651,145,157,409600,651,27
652,145,141,409600,652,18
653,145,148,409600,653,25
654,145,149,409600,654,23
655,145,143,409600,655,19
656,150,144,409600,656,19
657,144,157,409600,657,14
658,144,146,409600,658,10
659,144,151,409600,659,18
660,144,153,409600,660,23
661,144,152,409600,661,25
662,144,190,409600,662,12
663,144,178,409600,663,12
664,144,177,409600,664,12
665,157,146,409600,665,7
666,157,151,409600,666,7
667,157,153,409600,667,16
668,157,152,409600,668,17
669,157,143,409600,669,33
670,157,141,409600,670,41
671,146,151,409600,671,8
672,146,153,409600,672,18
673,146,152,409600,673,19
674,151,153,409600,674,10
675,151,152,409600,675,13
676,153,152,409600,676,6
677,153,190,409600,677,12
678,153,178,409600,678,12
679,153,177,409600,679,12
680,143,148,409600,680,15
681,143,141,409600,681,19
682,141,148,409600,682,19
683,141,149,409600,683,10
684,141,154,409600,684,23
685,148,149,409600,685,19
686,148,154,409600,686,17
687,149,154,409600,687,19
688,154,190,409600,688,12
689,154,178,409600,689,12
690,154,177,409600,690,12
691,194,192,409600,691,6
692,194,185,409600,692,12
693,194,169,409600,693,13
694,194,190,409600,694,17
695,194,175,409600,695,10
696,194,187,409600,696,8
697,194,171,409600,697,10
698,194,167,409600,698,10
699,194,176,409600,699,11
700,194,172,409600,700,21
701,194,173,409600,701,16
702,194,177,409600,702,26
703,194,179,409600,703,13
704,192,185,409600,704,8
705,192,169,409600,705,8
706,192,190,409600,706,12
707,192,175,409600,707,11
708,192,187,409600,708,13
709,192,171,409600,709,15
710,192,189,409600,710,17
711,192,177,409600,711,27
712,185,169,409600,712,8
713,185,190,409600,713,7
714,185,175,409600,714,13
715,185,187,409600,715,19
716,169,190,409600,716,8
717,169,171,409600,717,19
718,190,175,409600,718,19
719,190,187,409600,719,21
720,190,197,409600,720,15
721,190,247,409600,721,15
722,190,231,409600,722,15
723,175,167,409600,723,15
724,175,159,409600,724,19
725,175,170,409600,725,24
726,175,173,409600,726,12
727,187,171,409600,727,3
728,187,167,409600,728,4
729,187,176,409600,729,5
730,187,179,409600,730,6
731,187,168,409600,731,15
732,187,189,409600,732,18
733,187,164,409600,733,28
734,187,170,409600,734,36
735,171,167,409600,735,2
736,171,176,409600,736,7
737,171,179,409600,737,7
738,171,168,409600,738,16
739,171,193,409600,739,19
740,171,173,409600,740,14
741,171,163,409600,741,18
742,171,159,409600,742,26
743,167,176,409600,743,8
744,167,179,409600,744,8
745,167,193,409600,745,19
746,167,173,409600,746,13
747,167,164,409600,747,26
748,176,179,409600,748,3
749,176,168,409600,749,10
750,176,189,409600,750,14
751,179,168,409600,751,10
752,179,189,409600,752,15
753,179,172,409600,753,14
754,179,173,409600,754,19
755,179,163,409600,755,14
756,168,189,409600,756,8
757,168,193,409600,757,5
758,168,172,409600,758,9
759,168,163,409600,759,16
760,168,183,409600,760,16
761,168,166,409600,761,19
762,168,180,409600,762,20
763,168,162,409600,763,26
764,189,193,409600,764,10
765,193,172,409600,765,7
766,193,183,409600,766,13
767,193,182,409600,767,15
768,193,181,409600,768,14
769,193,166,409600,769,15
770,193,180,409600,770,19
771,172,163,409600,771,10
772,172,183,409600,772,8
773,172,182,409600,773,11
774,172,181,409600,774,13
775,172,166,409600,775,17
776,172,162,409600,776,19
777,173,159,409600,777,18
778,173,164,409600,778,19
779,173,174,409600,779,21
780,163,183,409600,780,13
781,163,182,409600,781,15
782,163,162,409600,782,19
783,183,182,409600,783,3
784,183,181,409600,784,9
785,183,191,409600,785,10
786,183,162,409600,786,16
787,183,197,409600,787,15
788,183,247,409600,788,15
789,183,231,409600,789,15
790,182,181,409600,790,8
791,182,191,409600,791,8
792,182,184,409600,792,20
793,182,159,409600,793,50
794,182,162,409600,794,14
795,181,166,409600,795,8
796,181,191,409600,796,3
797,181,180,409600,797,11
798,181,197,409600,798,15
799,181,247,409600,799,15
800,181,231,409600,800,15
801,166,191,409600,801,10
802,166,180,409600,802,5
803,166,184,409600,803,13
804,191,180,409600,804,12
805,191,197,409600,805,15
806,191,247,409600,806,15
807,191,231,409600,807,15
808,180,184,409600,808,8
809,180,197,409600,809,15
810,180,247,409600,810,15
811,180,231,409600,811,15
812,162,184,409600,812,27
813,184,197,409600,813,15
814,184,247,409600,814,15
815,184,231,409600,815,15
816,159,164,409600,816,6
817,159,177,409600,817,4
818,159,174,409600,818,15
819,159,188,409600,819,19
820,164,177,409600,820,3
821,164,174,409600,821,9
822,164,170,409600,822,12
823,164,188,409600,823,14
824,164,161,409600,824,15
825,164,186,409600,825,15
826,177,174,409600,826,11
827,177,170,409600,827,12
828,177,197,409600,828,15
829,177,247,409600,829,15
830,177,231,409600,830,15
831,174,170,409600,831,8
832,174,188,409600,832,9
833,174,161,409600,833,12
834,174,160,409600,834,13
835,174,178,409600,835,15
836,170,188,409600,836,4
837,170,161,409600,837,4
838,170,160,409600,838,7
839,170,186,409600,839,7
840,170,178,409600,840,13
841,170,165,409600,841,12
842,188,161,409600,842,5
843,188,160,409600,843,5
844,188,186,409600,844,10
845,188,178,409600,845,9
846,188,165,409600,846,10
847,161,160,409600,847,4
848,161,186,409600,848,5
849,161,165,409600,849,10
850,161,178,409600,850,13
851,161,197,409600,851,15
852,161,247,409600,852,15
853,161,231,409600,853,15
854,160,178,409600,854,9
